crate	lint	api	reason
boxddd	inherent_method_missing	World::try_enable_body_contact_recycling	result_first_api
boxddd	inherent_method_missing	World::try_enable_body_hit_events	result_first_api
boxddd	inherent_method_missing	World::try_enable_body_sleep	result_first_api
boxddd	inherent_method_missing	World::try_enable_continuous	result_first_api
boxddd	inherent_method_missing	World::try_enable_distance_joint_limit	result_first_api
boxddd	inherent_method_missing	World::try_enable_distance_joint_motor	result_first_api
boxddd	inherent_method_missing	World::try_enable_distance_joint_spring	result_first_api
boxddd	inherent_method_missing	World::try_enable_prismatic_joint_limit	result_first_api
boxddd	inherent_method_missing	World::try_enable_prismatic_joint_motor	result_first_api
boxddd	inherent_method_missing	World::try_enable_prismatic_joint_spring	result_first_api
boxddd	inherent_method_missing	World::try_enable_revolute_joint_limit	result_first_api
boxddd	inherent_method_missing	World::try_enable_revolute_joint_motor	result_first_api
boxddd	inherent_method_missing	World::try_enable_revolute_joint_spring	result_first_api
boxddd	inherent_method_missing	World::try_enable_shape_contact_events	result_first_api
boxddd	inherent_method_missing	World::try_enable_shape_hit_events	result_first_api
boxddd	inherent_method_missing	World::try_enable_shape_pre_solve_events	result_first_api
boxddd	inherent_method_missing	World::try_enable_shape_sensor_events	result_first_api
boxddd	inherent_method_missing	World::try_enable_sleeping	result_first_api
boxddd	inherent_method_missing	World::try_enable_speculative	result_first_api
boxddd	inherent_method_missing	World::try_enable_spherical_joint_cone_limit	result_first_api
boxddd	inherent_method_missing	World::try_enable_spherical_joint_motor	result_first_api
boxddd	inherent_method_missing	World::try_enable_spherical_joint_spring	result_first_api
boxddd	inherent_method_missing	World::try_enable_spherical_joint_twist_limit	result_first_api
boxddd	inherent_method_missing	World::try_enable_warm_starting	result_first_api
boxddd	inherent_method_missing	World::try_enable_wheel_joint_spin_motor	result_first_api
boxddd	inherent_method_missing	World::try_enable_wheel_joint_steering	result_first_api
boxddd	inherent_method_missing	World::try_enable_wheel_joint_steering_limit	result_first_api
